"Track Title","Track Length","Artist","Album","Genre"
When the Seasons Change,3:47,Five Finger Death Punch,And Justice for None (Deluxe),Metal
Gone Away,4:35,Five Finger Death Punch,And Justice for None (Deluxe),Metal
Got Your Six,2:58,Five Finger Death Punch,Got Your Six,Rock
Jekyll and Hyde,3:27,Five Finger Death Punch,Got Your Six,Rock
Wash It All Away,3:46,Five Finger Death Punch,Got Your Six,Rock
No Sudden Movement,3:21,Five Finger Death Punch,Got Your Six,Rock
Far From Home,3:32,Five Finger Death Punch,War is the Answer,Rock
Bad Company,4:22,Five Finger Death Punch,War is the Answer,Rock
War is the Answer,3:18,Five Finger Death Punch,War is the Answer,Rock
Here to Die,2:59,Five Finger Death Punch,"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2",Rock
Weight Beneath My Sin,3:40,Five Finger Death Punch,"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2",Rock
Wrecking Ball,3:13,Five Finger Death Punch,"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2",Rock
Battle Born,3:44,Five Finger Death Punch,"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2",Rock
Cradle to the Grave,3:18,Five Finger Death Punch,"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2",Rock
Matter of Time,3:16,Five Finger Death Punch,"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2",Rock
The Agony of Regret,1:42,Five Finger Death Punch,"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2",Rock
Cold,3:48,Five Finger Death Punch,"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2",Rock
Let This Go,3:16,Five Finger Death Punch,"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2",Rock
My Heart Lied,3:37,Five Finger Death Punch,"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2",Rock
A Day in My Life,3:46,Five Finger Death Punch,"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2",Rock
House of the Rising Sun,4:07,Five Finger Death Punch,"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2",Rock
Aries (feat. Deadcuts),4:20,Flatbush Zombies,Aries (feat. Deadcuts) - Single,Hip-Hop/Rap
Lava (feat. Zombie Juice),3:22,Flatbush Zombies,Lava (feat. Zombie Juice) - Single,Hip-Hop/Rap
HELL-O,2:53,Flatbush Zombies,Vacation In Hell,Hip-Hop/Rap
Chunky,3:53,Flatbush Zombies,Vacation In Hell,Hip-Hop/Rap
Vacation (feat. Joey Bada$$),3:57,Flatbush Zombies,Vacation In Hell,Hip-Hop/Rap
M. Bison,4:00,Flatbush Zombies,Vacation In Hell,Hip-Hop/Rap
Headstone,4:19,Flatbush Zombies,Vacation In Hell,Hip-Hop/Rap
Big Shrimp,3:58,Flatbush Zombies,Vacation In Hell,Hip-Hop/Rap
Leather Symphony (feat. A$AP Twelvyy),3:53,Flatbush Zombies,Vacation In Hell,Hip-Hop/Rap
Reel Girls (feat. Bun B),4:27,Flatbush Zombies,Vacation In Hell,Hip-Hop/Rap
Facts (feat. Jadakiss),4:33,Flatbush Zombies,Vacation In Hell,Hip-Hop/Rap
Ask Courtney,3:04,Flatbush Zombies,Vacation In Hell,Hip-Hop/Rap
Crown (feat. Portugal. The Man),4:57,Flatbush Zombies,Vacation In Hell,Hip-Hop/Rap
Proxies,3:22,Flatbush Zombies,Vacation In Hell,Hip-Hop/Rap
U&I (feat. Dia),5:16,Flatbush Zombies,Vacation In Hell,Hip-Hop/Rap
The Goddess (feat. Dave B.),4:00,Flatbush Zombies,Vacation In Hell,Hip-Hop/Rap
Trapped,5:15,Flatbush Zombies,Vacation In Hell,Hip-Hop/Rap
Best American,3:56,Flatbush Zombies,Vacation In Hell,Hip-Hop/Rap
Misunderstood (feat. Nyck Caution),2:30,Flatbush Zombies,Vacation In Hell,Hip-Hop/Rap
YouAreMySunshine,2:50,Flatbush Zombies,Vacation In Hell,Hip-Hop/Rap
The Glory (feat. Denzel Curry),5:50,Flatbush Zombies,Vacation In Hell,Hip-Hop/Rap
The Odyssey,6:03,Flatbush Zombies,3001: A Laced Odyssey,Hip-Hop
Bounce,4:02,Flatbush Zombies,3001: A Laced Odyssey,Hip-Hop
R.I.P.C.D.,4:05,Flatbush Zombies,3001: A Laced Odyssey,Hip-Hop
A Spike Lee Joint (feat. Anthony Flammia),4:15,Flatbush Zombies,3001: A Laced Odyssey,Hip-Hop
Fly Away,2:30,Flatbush Zombies,3001: A Laced Odyssey,Hip-Hop
Ascension,5:01,Flatbush Zombies,3001: A Laced Odyssey,Hip-Hop
Smoke Break (Interlude),2:04,Flatbush Zombies,3001: A Laced Odyssey,Hip-Hop
Trade-Off,4:09,Flatbush Zombies,3001: A Laced Odyssey,Hip-Hop
Good Grief (feat. Diamante),4:31,Flatbush Zombies,3001: A Laced Odyssey,Hip-Hop
"New Phone, Who Dis?",5:31,Flatbush Zombies,3001: A Laced Odyssey,Hip-Hop
This Is It,5:43,Flatbush Zombies,3001: A Laced Odyssey,Hip-Hop
Your Favorite Rap Song,13:00,Flatbush Zombies,3001: A Laced Odyssey,Hip-Hop
Handlebars,3:27,Flobots,Fight With Tools,Hip-Hop/Rap
I Ran (So Far Away),5:09,A Flock of Seagulls,A Flock of Seagulls,Pop
"No Light, No Light",4:35,Florence + the Machine,Ceremonials,Alternative
Dog Days Are Over,4:13,Florence + the Machine,Lungs,Alternative
Kiss With a Fist,2:04,Florence + the Machine,Lungs,Alternative
Doll,1:24,Foo Fighters,The Colour And The Shape,Alternative
Monkey Wrench,3:51,Foo Fighters,The Colour And The Shape,Alternative
"Hey, Johnny Park!",4:08,Foo Fighters,The Colour And The Shape,Alternative
My Poor Brain,3:33,Foo Fighters,The Colour And The Shape,Alternative
Wind Up,2:31,Foo Fighters,The Colour And The Shape,Alternative
Up In Arms,2:16,Foo Fighters,The Colour And The Shape,Alternative
My Hero,4:20,Foo Fighters,The Colour And The Shape,Alternative
See You,2:27,Foo Fighters,The Colour And The Shape,Alternative
Enough Space,2:36,Foo Fighters,The Colour And The Shape,Alternative
February Stars,4:49,Foo Fighters,The Colour And The Shape,Alternative
Everlong,4:11,Foo Fighters,The Colour And The Shape,Alternative
Walking After You,5:04,Foo Fighters,The Colour And The Shape,Alternative
New Way Home,5:40,Foo Fighters,The Colour And The Shape,Alternative
The Colour and the Shape,3:24,Foo Fighters,The Colour And The Shape,Alternative
T-Shirt,1:23,Foo Fighters,Concrete and Gold,Rock
Run,5:23,Foo Fighters,Concrete and Gold,Rock
Make It Right,4:39,Foo Fighters,Concrete and Gold,Rock
The Sky Is a Neighborhood,4:05,Foo Fighters,Concrete and Gold,Rock
La Dee Da,4:03,Foo Fighters,Concrete and Gold,Rock
Dirty Water,5:21,Foo Fighters,Concrete and Gold,Rock
Arrows,4:26,Foo Fighters,Concrete and Gold,Rock
Happy Ever After (Zero Hour),3:41,Foo Fighters,Concrete and Gold,Rock
Sunday Rain,6:11,Foo Fighters,Concrete and Gold,Rock
The Line,3:38,Foo Fighters,Concrete and Gold,Rock
Concrete and Gold,5:32,Foo Fighters,Concrete and Gold,Rock
The Pretender,4:29,Foo Fighters,"Echoes, Silence, Patience & Grace",Alternative
Let It Die,4:05,Foo Fighters,"Echoes, Silence, Patience & Grace",Alternative
Erase/Replace,4:13,Foo Fighters,"Echoes, Silence, Patience & Grace",Alternative
Long Road to Ruin,3:45,Foo Fighters,"Echoes, Silence, Patience & Grace",Alternative
Come Alive,5:10,Foo Fighters,"Echoes, Silence, Patience & Grace",Alternative
Stranger Things Have Happened,5:21,Foo Fighters,"Echoes, Silence, Patience & Grace",Alternative
"Cheer Up, Boys (Your Make Up Is Running)",3:41,Foo Fighters,"Echoes, Silence, Patience & Grace",Alternative
Summer's End,4:38,Foo Fighters,"Echoes, Silence, Patience & Grace",Alternative
Ballad of the Beaconsfield Miners,2:32,Foo Fighters,"Echoes, Silence, Patience & Grace",Alternative
Statues,3:48,Foo Fighters,"Echoes, Silence, Patience & Grace",Alternative
"But, Honestly",4:36,Foo Fighters,"Echoes, Silence, Patience & Grace",Alternative
Home,4:53,Foo Fighters,"Echoes, Silence, Patience & Grace",Alternative
This Is a Call,3:53,Foo Fighters,Foo Fighters,Adult Alternative
I'll Stick Around,3:53,Foo Fighters,Foo Fighters,Adult Alternative
Big Me,2:13,Foo Fighters,Foo Fighters,Adult Alternative
Alone + Easy Target,4:06,Foo Fighters,Foo Fighters,Adult Alternative
Good Grief,4:01,Foo Fighters,Foo Fighters,Adult Alternative
Floaty,4:29,Foo Fighters,Foo Fighters,Adult Alternative
Weenie Beenie,2:45,Foo Fighters,Foo Fighters,Adult Alternative
"Oh, George",3:02,Foo Fighters,Foo Fighters,Adult Alternative
For All the Cows,3:29,Foo Fighters,Foo Fighters,Adult Alternative
X-Static,4:13,Foo Fighters,Foo Fighters,Adult Alternative
Wattershed,2:14,Foo Fighters,Foo Fighters,Adult Alternative
Exhausted,5:50,Foo Fighters,Foo Fighters,Adult Alternative
Best of You,4:15,Foo Fighters,In Your Honor,Alternative
All My Life,4:23,Foo Fighters,One By One,Pop
Low,4:28,Foo Fighters,One By One,Pop
Have It All,4:58,Foo Fighters,One By One,Pop
Times Like These,4:26,Foo Fighters,One By One,Pop
Disenchanted Lullaby,4:33,Foo Fighters,One By One,Pop
Tired of You,5:11,Foo Fighters,One By One,Pop
Halo,5:07,Foo Fighters,One By One,Pop
Lonely As You,4:37,Foo Fighters,One By One,Pop
Overdrive,4:30,Foo Fighters,One By One,Pop
Burn Away,4:58,Foo Fighters,One By One,Pop
Come Back,7:48,Foo Fighters,One By One,Pop
Walking a Line,3:55,Foo Fighters,One By One,Pop
Sister Europe,5:10,Foo Fighters,One By One,Pop
Danny Says,2:58,Foo Fighters,One By One,Pop
Life of Illusion,3:40,Foo Fighters,One By One,Pop
For All the Cows (Live in Amsterdam),3:32,Foo Fighters,One By One,Pop
Monkey Wrench (Live in Melbourne Australia for Live At The Chapel),4:02,Foo Fighters,One By One,Pop
Saint Cecilia,3:42,Foo Fighters,Saint Cecilia - EP,Rock
Sean,2:11,Foo Fighters,Saint Cecilia - EP,Rock
Savior Breath,3:11,Foo Fighters,Saint Cecilia - EP,Rock
Iron Rooster,4:11,Foo Fighters,Saint Cecilia - EP,Rock
The Neverending Sigh,4:45,Foo Fighters,Saint Cecilia - EP,Rock
Soldier,5:11,Foo Fighters,Soldier - Single,Rock
Something from Nothing,4:48,Foo Fighters,Sonic Highways,Rock
The Feast and the Famine,3:50,Foo Fighters,Sonic Highways,Rock
Congregation,5:12,Foo Fighters,Sonic Highways,Rock
What Did I Do?/God As My Witness,5:44,Foo Fighters,Sonic Highways,Rock
Outside,5:15,Foo Fighters,Sonic Highways,Rock
In the Clear,4:04,Foo Fighters,Sonic Highways,Rock
Subterranean,6:08,Foo Fighters,Sonic Highways,Rock
I Am a River,7:09,Foo Fighters,Sonic Highways,Rock
Stacked Actors,4:16,Foo Fighters,There Is Nothing Left to Lose,Rock
Breakout,3:21,Foo Fighters,There Is Nothing Left to Lose,Rock
Learn to Fly,3:55,Foo Fighters,There Is Nothing Left to Lose,Rock
Gimme Stitches,3:42,Foo Fighters,There Is Nothing Left to Lose,Rock
Generator,3:47,Foo Fighters,There Is Nothing Left to Lose,Rock
Aurora,5:50,Foo Fighters,There Is Nothing Left to Lose,Rock
Live-In Skin,3:53,Foo Fighters,There Is Nothing Left to Lose,Rock
Next Year,4:36,Foo Fighters,There Is Nothing Left to Lose,Rock
Headwires,4:37,Foo Fighters,There Is Nothing Left to Lose,Rock
Ain't It the Life,4:15,Foo Fighters,There Is Nothing Left to Lose,Rock
M.I.A.,4:03,Foo Fighters,There Is Nothing Left to Lose,Rock
Bridge Burning,4:46,Foo Fighters,Wasting Light,Rock
Rope,4:18,Foo Fighters,Wasting Light,Rock
Dear Rosemary,4:26,Foo Fighters,Wasting Light,Rock
White Limo,3:22,Foo Fighters,Wasting Light,Rock
Arlandria,4:27,Foo Fighters,Wasting Light,Rock
These Days,4:58,Foo Fighters,Wasting Light,Rock
Back & Forth,3:52,Foo Fighters,Wasting Light,Rock
A Matter of Time,4:35,Foo Fighters,Wasting Light,Rock
Miss the Misery,4:33,Foo Fighters,Wasting Light,Rock
I Should Have Known,4:15,Foo Fighters,Wasting Light,Rock
Walk,4:17,Foo Fighters,Wasting Light,Rock
Super Rich Kids (feat. Earl Sweatshirt),5:05,Frank Ocean,Channel ORANGE,Pop
Take Me Out,3:57,Franz Ferdinand,Franz Ferdinand,Alternative
Hate It Or Love It (feat. 50 Cent),3:26,The Game,The Documentary,Hip-Hop/Rap
We Ain't (feat. Eminem),4:47,The Game,The Documentary,Hip-Hop/Rap
Where I'm From (feat. Nate Dogg),3:08,The Game,The Documentary,Hip-Hop/Rap
"Like Father, Like Son (feat. Busta Rhymes)",5:27,The Game,The Documentary,Hip-Hop/Rap
Storm,22:32,Godspeed You! Black Emperor,Lift Your Skinny Fists Like Antennas to Heaven,Alternative
Static,22:36,Godspeed You! Black Emperor,Lift Your Skinny Fists Like Antennas to Heaven,Alternative
Sleep,23:18,Godspeed You! Black Emperor,Lift Your Skinny Fists Like Antennas to Heaven,Alternative
Like Antennas To Heaven…,18:58,Godspeed You! Black Emperor,Lift Your Skinny Fists Like Antennas to Heaven,Alternative
Slide,3:33,The Goo Goo Dolls,Dizzy Up the Girl,Pop
Iris,4:50,The Goo Goo Dolls,Dizzy Up the Girl,Pop
The Anthem,2:55,Good Charlotte,The Young and the Hopeless,Alternative
Intro,1:03,Gorillaz,Demon Days,Alternative
Last Living Souls,3:10,Gorillaz,Demon Days,Alternative
Kids With Guns,3:46,Gorillaz,Demon Days,Alternative
O Green World,4:32,Gorillaz,Demon Days,Alternative
Dirty Harry,3:44,Gorillaz,Demon Days,Alternative
Feel Good Inc.,3:41,Gorillaz,Demon Days,Alternative
El Mañana,3:50,Gorillaz,Demon Days,Alternative
Every Planet We Reach Is Dead,4:53,Gorillaz,Demon Days,Alternative
November Has Come,2:41,Gorillaz,Demon Days,Alternative
All Alone,3:30,Gorillaz,Demon Days,Alternative
White Light,2:08,Gorillaz,Demon Days,Alternative
Dare,4:04,Gorillaz,Demon Days,Alternative
Fire Coming Out of the Monkey's Head,3:16,Gorillaz,Demon Days,Alternative
Don't Get Lost In Heaven,2:00,Gorillaz,Demon Days,Alternative
Demon Days,4:29,Gorillaz,Demon Days,Alternative
Clint Eastwood,5:43,Gorillaz,Gorillaz,Alternative
19-2000,3:28,Gorillaz,Gorillaz,Alternative
On Melancholy Hill,3:54,Gorillaz,Plastic Beach,Pop
Friend of the Devil,3:25,Grateful Dead,American Beauty,Rock
Scarlet Begonias,4:20,Grateful Dead,From the Mars Hotel,Rock
Ship of Fools,5:29,Grateful Dead,From the Mars Hotel,Rock
El Paso (Live),6:37,Grateful Dead,"Ladies and Gentlemen... The Grateful Dead - Fillmore East, New York City, April 1971",Rock
St. Stephen (Live At the Fillmore West 1969),6:32,Grateful Dead,Live Dead,Rock
Shakedown Street,5:00,Grateful Dead,Shakedown Street,Rock
Fire On the Mountain,3:49,Grateful Dead,Shakedown Street,Rock
Eyes of the World,5:20,Grateful Dead,Wake of the Flood,Rock
Uncle John's Band,4:45,Grateful Dead,Workingman's Dead,Rock
Dire Wolf,3:14,Grateful Dead,Workingman's Dead,Rock
Easy Wind,4:59,Grateful Dead,Workingman's Dead,Rock
Casey Jones,4:25,Grateful Dead,Workingman's Dead,Rock
American Idiot,2:55,Green Day,American Idiot,Alternative
Jesus of Suburbia,9:09,Green Day,American Idiot,Alternative
Holiday,3:53,Green Day,American Idiot,Alternative
Boulevard of Broken Dreams,4:21,Green Day,American Idiot,Alternative
Are We the Waiting,2:43,Green Day,American Idiot,Alternative
St. Jimmy,2:55,Green Day,American Idiot,Alternative
Give Me Novacaine,3:26,Green Day,American Idiot,Alternative
She's a Rebel,2:00,Green Day,American Idiot,Alternative
Extraordinary Girl,3:34,Green Day,American Idiot,Alternative
Letterbomb,4:06,Green Day,American Idiot,Alternative
Wake Me Up When September Ends,4:46,Green Day,American Idiot,Alternative
Homecoming,9:19,Green Day,American Idiot,Alternative
Whatsername,4:13,Green Day,American Idiot,Alternative
Burnout,2:07,Green Day,Dookie,Alternative
Having a Blast,2:44,Green Day,Dookie,Alternative
Chump,2:54,Green Day,Dookie,Alternative
Longview,3:59,Green Day,Dookie,Alternative
Welcome to Paradise,3:44,Green Day,Dookie,Alternative
Pulling Teeth,2:31,Green Day,Dookie,Alternative
Basket Case,3:03,Green Day,Dookie,Alternative
She,2:14,Green Day,Dookie,Alternative
Sassafras Roots,2:37,Green Day,Dookie,Alternative
When I Come Around,2:58,Green Day,Dookie,Alternative
Coming Clean,1:35,Green Day,Dookie,Alternative
Emenius Sleepus,1:44,Green Day,Dookie,Alternative
In the End,1:46,Green Day,Dookie,Alternative
F.O.D.,2:52,Green Day,Dookie,Alternative
All by Myself,1:38,Green Day,Dookie,Alternative
Brain Stew,3:13,Green Day,Insomniac,Alternative
Good Riddance (Time of Your Life),2:35,Green Day,Nimrod,Alternative
Bang Bang,3:25,Green Day,Revolution Radio,Alternative
Still Breathing,3:45,Green Day,Revolution Radio,Alternative
21st Century Breakdown,5:09,Green Day,21st Century Breakdown,Alternative
Know Your Enemy,3:10,Green Day,21st Century Breakdown,Alternative
¡Viva La Gloria!,3:30,Green Day,21st Century Breakdown,Alternative
East Jesus Nowhere,4:35,Green Day,21st Century Breakdown,Alternative
21 Guns,5:51,Green Day,21st Century Breakdown,Alternative
Welcome to the Jungle,4:33,Guns N' Roses,Appetite for Destruction,Hard Rock
Mr. Brownstone,3:49,Guns N' Roses,Appetite for Destruction,Hard Rock
Paradise City,6:46,Guns N' Roses,Appetite for Destruction,Hard Rock
Sweet Child O' Mine,5:56,Guns N' Roses,Appetite for Destruction,Hard Rock
Patience,5:54,Guns N' Roses,G N' R Lies,Hard Rock
Used to Love Her,3:11,Guns N' Roses,G N' R Lies,Hard Rock
Live and Let Die,3:03,Guns N' Roses,Use Your Illusion I,Hard Rock
November Rain,8:56,Guns N' Roses,Use Your Illusion I,Hard Rock
Knockin' On Heaven's Door,5:36,Guns N' Roses,Use Your Illusion II,Hard Rock
Liquid Swords,4:32,GZA,Liquid Swords,Hip-Hop/Rap
"Duel of the Iron Mic (feat. Masta Killa, Dreddy Kruger, Inspectah Deck & Ol' Dirty Bastard)",4:05,GZA,Liquid Swords,Hip-Hop/Rap
Living In the World Today,4:23,GZA,Liquid Swords,Hip-Hop/Rap
Gold,3:57,GZA,Liquid Swords,Hip-Hop/Rap
Cold World (feat. Inspectah Deck),5:31,GZA,Liquid Swords,Hip-Hop/Rap
Labels,2:54,GZA,Liquid Swords,Hip-Hop/Rap
"4th Chamber (feat. RZA, Ghostface Killah & Killah Priest)",4:37,GZA,Liquid Swords,Hip-Hop/Rap
Shadowboxin' (feat. Method Man),3:30,GZA,Liquid Swords,Hip-Hop/Rap
Hell's Wind Staff / Killah Hills 10304,5:09,GZA,Liquid Swords,Hip-Hop/Rap
"Investigative Reports (feat. Chef Raekwon, Ghostface Killah & U-God)",3:50,GZA,Liquid Swords,Hip-Hop/Rap
Swordsman (feat. Killah Priest),3:21,GZA,Liquid Swords,Pop
I Gotcha Back (feat. Killah Priest) [feat. Killah Priest],5:00,GZA,Liquid Swords,Hip-Hop/Rap
B.I.B.L.E. (Basic Instructions Before Leaving Earth) [feat. Killah Priest],4:31,GZA,Liquid Swords,Hip-Hop/Rap
Flagpole Sitta,3:37,Harvey Danger,Where Have All the Merrymakers Gone?,Rock
Been to Hell,3:23,Hollywood Undead,American Tragedy,Hard Rock
Apologize,3:27,Hollywood Undead,American Tragedy,Hard Rock
Comin' In Hot,3:43,Hollywood Undead,American Tragedy,Hard Rock
My Town,3:36,Hollywood Undead,American Tragedy,Hard Rock
I Don't Wanna Die,3:59,Hollywood Undead,American Tragedy,Hard Rock
Hear Me Now,3:34,Hollywood Undead,American Tragedy,Hard Rock
Gangsta Sexy,3:54,Hollywood Undead,American Tragedy,Hard Rock
Glory,3:34,Hollywood Undead,American Tragedy,Hard Rock
Lights Out,3:51,Hollywood Undead,American Tragedy,Hard Rock
Coming Back Down,3:23,Hollywood Undead,American Tragedy,Hard Rock
Bullet,3:18,Hollywood Undead,American Tragedy,Hard Rock
Levitate,3:24,Hollywood Undead,American Tragedy,Hard Rock
Pour Me,4:03,Hollywood Undead,American Tragedy,Hard Rock
Tendencies,3:32,Hollywood Undead,American Tragedy,Hard Rock
Street Dreams (Bonus Track),4:04,Hollywood Undead,American Tragedy,Hard Rock
Apologize (Instrumental),3:27,Hollywood Undead,American Tragedy,Hard Rock
Comin' In Hot (Instrumental),3:42,Hollywood Undead,American Tragedy,Hard Rock
Undead,4:25,Hollywood Undead,Swan Songs,Hard Rock
Sell Your Soul,3:14,Hollywood Undead,Swan Songs,Hard Rock
Everywhere I Go,3:30,Hollywood Undead,Swan Songs,Hard Rock
No Other Place,3:17,Hollywood Undead,Swan Songs,Hard Rock
No. 5,3:05,Hollywood Undead,Swan Songs,Hard Rock
Young,3:16,Hollywood Undead,Swan Songs,Hard Rock
Black Dahlia,3:46,Hollywood Undead,Swan Songs,Hard Rock
"This Love, This Hate",3:57,Hollywood Undead,Swan Songs,Hard Rock
Bottle and a Gun,3:22,Hollywood Undead,Swan Songs,Hard Rock
California,3:17,Hollywood Undead,Swan Songs,Hard Rock
City,3:34,Hollywood Undead,Swan Songs,Hard Rock
The Diary,4:35,Hollywood Undead,Swan Songs,Hard Rock
Pimpin',3:07,Hollywood Undead,Swan Songs,Hard Rock
Paradise Lost,3:11,Hollywood Undead,Swan Songs,Hard Rock
Ill Mind of Hopsin 5,4:49,Hopsin,Ill Mind of Hopsin 5 - Single,Hip-Hop/Rap
Ill Mind of Hopsin 7,5:50,Hopsin,Ill Mind of Hopsin 7 - Single,Hip-Hop
Ill Mind of Hopsin 8,6:30,Hopsin,Ill Mind of Hopsin 8 - Single,Hip-Hop/Rap
The Purge,3:24,Hopsin,No Shame,Hip-Hop/Rap
Ill Mind of Hopsin 9,4:58,Hopsin,No Shame,Hip-Hop/Rap
Take Me to Church,4:02,Hozier,Hozier (Bonus Track Version),Alternative
Angel of Small Death and the Codeine Scene,3:39,Hozier,Hozier (Bonus Track Version),Alternative
Stories With Unhappy Endings,3:48,Hundred Reasons,Shatterproof Is Not a Challenge,Pop
No Vaseline,5:12,Ice Cube,Death Certificate (25th Anniversary Edition),Hip-Hop/Rap
It Was a Good Day,4:20,Ice Cube,The Predator,Hip-Hop/Rap
Dance With the Devil,9:39,Immortal Technique,"Revolutionary, Vol. 1 (Bonus Edition)",Hip-Hop
Point of No Return,4:02,Immortal Technique,"Revolutionary, Vol. 2",Hip-Hop/Rap
The Cause of Death,5:53,Immortal Technique,"Revolutionary, Vol. 2",Hip-Hop/Rap
Freedom of Speech,3:07,Immortal Technique,"Revolutionary, Vol. 2",Hip-Hop/Rap
Intro,0:50,Inspectah Deck,The Movement,Hip-Hop/Rap
City High,3:20,Inspectah Deck,The Movement,Hip-Hop/Rap
That Shit,4:05,Inspectah Deck,The Movement,Hip-Hop/Rap
Get Right,3:44,Inspectah Deck,The Movement,Hip-Hop/Rap
The Movement,3:57,Inspectah Deck,The Movement,Hip-Hop/Rap
Who Got It,4:10,Inspectah Deck,The Movement,Hip-Hop/Rap
It's Like That,3:26,Inspectah Deck,The Movement,Hip-Hop/Rap
Shorty Right There,3:01,Inspectah Deck,The Movement,Hip-Hop/Rap
U Wanna Be,4:31,Inspectah Deck,The Movement,Hip-Hop/Rap
Framed,2:51,Inspectah Deck,The Movement,Hip-Hop/Rap
Bumpin and Grindin,4:06,Inspectah Deck,The Movement,Hip-Hop/Rap
Vendetta,3:38,Inspectah Deck,The Movement,Hip-Hop/Rap
The Stereotype,3:57,Inspectah Deck,The Movement,Hip-Hop/Rap
That N***a,3:51,Inspectah Deck,The Movement,Hip-Hop/Rap
Big City,3:34,Inspectah Deck,The Movement,Hip-Hop/Rap
Cradle to the Grave,5:58,Inspectah Deck,The Movement,Hip-Hop/Rap
Renegade (feat. Eminem),5:38,JAY-Z,The Blueprint,Hip-Hop/Rap
Run This Town (feat. Rihanna & Kanye West),4:28,JAY-Z,The Blueprint 3,Hip-Hop/Rap
Empire State of Mind (feat. Alicia Keys),4:37,JAY-Z,The Blueprint 3,Hip-Hop/Rap
Young Forever (feat. Mr Hudson),4:14,JAY-Z,The Blueprint 3,Hip-Hop/Rap
The Story of O.J.,3:52,JAY-Z,4:44,Hip-Hop/Rap
No Church in the Wild (feat. Frank Ocean & The-Dream),4:33,JAY-Z & Kanye West,Watch the Throne,Hip-Hop/Rap
Bleed American,3:01,Jimmy Eat World,Bleed American,Rock
A Praise Chorus (feat. Davey Vonbohlen),4:04,Jimmy Eat World,Bleed American,Rock
The Middle,2:46,Jimmy Eat World,Bleed American,Rock
Your House,4:46,Jimmy Eat World,Bleed American,Rock
Sweetness,3:40,Jimmy Eat World,Bleed American,Rock
Hear You Me,4:44,Jimmy Eat World,Bleed American,Rock
"If You Don't, Don't",4:33,Jimmy Eat World,Bleed American,Rock
Get It Faster,4:22,Jimmy Eat World,Bleed American,Rock
Cautioners,5:21,Jimmy Eat World,Bleed American,Rock
The Authority Song,3:37,Jimmy Eat World,Bleed American,Rock
My Sundown,5:48,Jimmy Eat World,Bleed American,Rock
Broke,4:22,Joe Budden,All Love Lost (Deluxe Edition),Hip-Hop/Rap
Calm Down,5:16,Joe Budden,Joe Budden,R&B/Soul
Uncle Joe,3:05,Joe Budden,Rage & the Machine,Hip-Hop/Rap
GOOD MORNING AMERIKKKA,1:38,Joey Bada$$,ALL-AMERIKKKAN BADA$$,Hip-Hop/Rap
FOR MY PEOPLE,3:53,Joey Bada$$,ALL-AMERIKKKAN BADA$$,Hip-Hop/Rap
TEMPTATION,4:04,Joey Bada$$,ALL-AMERIKKKAN BADA$$,Hip-Hop/Rap
LAND OF THE FREE,4:44,Joey Bada$$,ALL-AMERIKKKAN BADA$$,Hip-Hop/Rap
DEVASTATED,3:27,Joey Bada$$,ALL-AMERIKKKAN BADA$$,Hip-Hop/Rap
Y U DON'T LOVE ME? (MISS AMERIKKKA),3:19,Joey Bada$$,ALL-AMERIKKKAN BADA$$,Hip-Hop/Rap
ROCKABYE BABY (feat. ScHoolboy Q),3:44,Joey Bada$$,ALL-AMERIKKKAN BADA$$,Hip-Hop/Rap
"RING THE ALARM (feat. Nyck Caution, Kirk Knight & Meechy Darko)",4:20,Joey Bada$$,ALL-AMERIKKKAN BADA$$,Hip-Hop/Rap
SUPER PREDATOR (feat. Styles P),4:12,Joey Bada$$,ALL-AMERIKKKAN BADA$$,Hip-Hop/Rap
BABYLON (feat. Chronixx),5:36,Joey Bada$$,ALL-AMERIKKKAN BADA$$,Hip-Hop/Rap
LEGENDARY (feat. J. Cole),4:38,Joey Bada$$,ALL-AMERIKKKAN BADA$$,Hip-Hop/Rap
AMERIKKKAN IDOL,6:11,Joey Bada$$,ALL-AMERIKKKAN BADA$$,Hip-Hop/Rap
Save the Children,3:35,Joey Bada$$,B4.Da.$$ (Deluxe),Hip-Hop
Greenbax (Introlude),0:48,Joey Bada$$,B4.Da.$$ (Deluxe),Hip-Hop
Paper Trail$,3:15,Joey Bada$$,B4.Da.$$ (Deluxe),Hip-Hop
Piece of Mind,3:39,Joey Bada$$,B4.Da.$$ (Deluxe),Hip-Hop
Big Dusty,4:53,Joey Bada$$,B4.Da.$$ (Deluxe),Hip-Hop
Hazeus View,3:40,Joey Bada$$,B4.Da.$$ (Deluxe),Hip-Hop
Like Me (feat. BJ the Chicago Kid),4:26,Joey Bada$$,B4.Da.$$ (Deluxe),Hip-Hop
